id,tweet_id,account_id,text,created_at,url,likes,retweets,replies,views,media,metadata,scrape_time
e1e01ab3-6602-4142-96f0-6788e34907ee,1901234937723842660,4a8d713d-e69a-41fb-8979-5da05eadef84,"Bookmark our network overview dashboard on 
@Dune
  to follow the data from day one 

(((+)))",2025-03-16 11:31:47+00,https://twitter.com/sophon/status/1901234937723842660,82,0,5,0,"""[\""https://pbs.twimg.com/media/GmAvJb9WgAA9cJx?format=jpg&name=small\""]""","""{\""account\"": \""sophon\"", \""scrape_time\"": \""2025-03-16T22:39:43.090957\""}""",2025-03-16 17:39:43.370823+00
817b4aee-7386-4e0a-8785-a0926f8f4001,1901002501861896199,e762136e-fdf5-4687-8de7-9999c011f58a,Who’s ready for Season 3? ,2025-03-15 20:08:10+00,https://twitter.com/SaharaLabsAI/status/1901002501861896199,2241,0,809,0,"""[]""","""{\""account\"": \""SaharaLabsAI\"", \""scrape_time\"": \""2025-03-16T22:38:29.818727\""}""",2025-03-16 17:38:30.775515+00
0fdb19cf-4139-4617-ab56-aec499702d3f,1900728029770641664,e762136e-fdf5-4687-8de7-9999c011f58a,"Season 3 Whitelist Notifications Are Out! 

If you’re on the waitlist, check your email—whitelisted users have just been notified!

 Season 3 kicks off next week
 All emails come from: hello@saharalabs.ai
 The ONLY link to our app: http://app.saharalabs.ai

Stay vigilant &",2025-03-15 01:57:30+00,https://twitter.com/SaharaLabsAI/status/1900728029770641664,1717,0,313,0,"""[\""https://pbs.twimg.com/media/GmC-EZbaIAAgiT7?format=jpg&name=small\""]""","""{\""account\"": \""SaharaLabsAI\"", \""scrape_time\"": \""2025-03-16T22:38:31.119713\""}""",2025-03-15 11:19:40.461211+00
00face1a-35f4-48c3-a34b-00b996a334a6,1900624352569422141,d342959c-099a-4804-b4ab-a19b6d25e223,Join The Metalayer: http://metalayer.caldera.xyz,2025-03-14 19:05:32+00,https://twitter.com/Calderaxyz/status/1900624352569422141,29,0,2,0,"""[\""https://pbs.twimg.com/media/GmBfxs9awAA_1T8?format=png&name=small\""]""","""{\""account\"": \""Calderaxyz\"", \""scrape_time\"": \""2025-03-16T22:40:52.850967\""}""",2025-03-15 12:08:29.607042+00
7812226b-948a-4423-8098-e2e2bf5fef4c,1900624336127750220,d342959c-099a-4804-b4ab-a19b6d25e223,"The Metalayer builds a foundation for a constellation of 10,000 interconnected rollups. We’re grateful for our partners' ingenuity and invaluable contributions towards making our vision a reality.",2025-03-14 19:05:28+00,https://twitter.com/Calderaxyz/status/1900624336127750220,29,0,2,0,"""[]""","""{\""account\"": \""Calderaxyz\"", \""scrape_time\"": \""2025-03-16T22:40:52.206961\""}""",2025-03-15 12:08:28.594604+00
f5bdf175-37d9-4194-a60c-5fff78e6c1f6,1900562564280422528,d342959c-099a-4804-b4ab-a19b6d25e223,"5 hours left. 

Don't be shy, come say hi ",2025-03-14 15:00:00+00,https://twitter.com/Calderaxyz/status/1900562564280422528,582,0,183,0,"""[\""https://pbs.twimg.com/media/Gl2Z2ZNb0AA4z8b?format=jpg&name=small\""]""","""{\""account\"": \""Calderaxyz\"", \""scrape_time\"": \""2025-03-16T22:40:55.662607\""}""",2025-03-15 11:21:49.647928+00
d2817fa4-1aed-4552-85cf-2704033edac6,1900562505161978308,4a8d713d-e69a-41fb-8979-5da05eadef84,"The votes are in. Sophon is unleashed.

Yappers, the canvas awaits what you create.

Loyalty shall be rewarded.

(((+)))",2025-03-14 14:59:46+00,https://twitter.com/sophon/status/1900562505161978308,264,0,50,0,"""[\""https://pbs.twimg.com/media/GmAYmSSXoAAcM3J?format=jpg&name=small\""]""","""{\""account\"": \""sophon\"", \""scrape_time\"": \""2025-03-16T22:39:43.699967\""}""",2025-03-15 11:20:44.71675+00
179fdf5e-541b-4db3-911a-433f6d2de14f,1900354653319270885,e762136e-fdf5-4687-8de7-9999c011f58a,"Season 3 kicks off this week! But first, let’s take a moment to celebrate how far we’ve come—all thanks to our incredible community!

Season 1 Recap
 1.85M+ waitlist signups
 289K+ approved datapoints
 4.47M+ points distributed

Season 2 Recap
 2.24M+ waitlist signups
",2025-03-14 01:13:50+00,https://twitter.com/SaharaLabsAI/status/1900354653319270885,1456,0,206,0,"""[\""https://pbs.twimg.com/media/Gl9nocDXQAAL_6N?format=jpg&name=small\""]""","""{\""account\"": \""SaharaLabsAI\"", \""scrape_time\"": \""2025-03-16T22:38:33.268883\""}""",2025-03-15 12:06:10.867785+00
2536a778-47ff-401f-b484-9c439df2806a,1900242681713864705,e762136e-fdf5-4687-8de7-9999c011f58a,"Some swear AI search tools are revolutionizing how we conduct research and engage with academic content. Others think it's just making us too dependent, replacing critical thinking with copy-paste answers.

Is AI the ultimate study buddy, or are we outsourcing too much",2025-03-13 17:48:54+00,https://twitter.com/SaharaLabsAI/status/1900242681713864705,567,0,21,0,"""[]""","""{\""account\"": \""SaharaLabsAI\"", \""scrape_time\"": \""2025-03-15T23:57:14.946817\""}""",2025-03-15 18:38:45.168655+00
0b90d032-098f-44f7-a671-ba626750c1f5,1900156466881061038,4a8d713d-e69a-41fb-8979-5da05eadef84,"How to farm:

For LP staking pools:
1. Deposit to your pool of choice on 
@syncswap

2. Deposit the LP tokens in the Sophon farm for up to 4x SP multipliers

For single-sided staking pools:
1. Simply deposit assets to your pool of choice

(((+)))",2025-03-13 12:06:19+00,https://twitter.com/sophon/status/1900156466881061038,81,0,2,0,"""[\""https://pbs.twimg.com/media/Gl62El7WsAA4wXR?format=jpg&name=small\""]""","""{\""account\"": \""sophon\"", \""scrape_time\"": \""2025-03-16T22:39:44.957231\""}""",2025-03-15 18:39:57.288235+00
e579bf0e-fcaf-4e03-ab3a-5f600531b560,1900150109754843454,d342959c-099a-4804-b4ab-a19b6d25e223,Go Horizontal,2025-03-13 11:41:03+00,https://twitter.com/Calderaxyz/status/1900150109754843454,648,0,193,0,"""[\""https://pbs.twimg.com/media/Gl6wdEmWcAACfml?format=jpg&name=small\""]""","""{\""account\"": \""Calderaxyz\"", \""scrape_time\"": \""2025-03-16T22:41:01.056225\""}""",2025-03-15 11:21:54.416618+00
3ad374cc-6385-42ae-9a49-0a82fcf484e7,1900099769483042930,d342959c-099a-4804-b4ab-a19b6d25e223, → Caldera,2025-03-13 08:21:01+00,https://twitter.com/Calderaxyz/status/1900099769483042930,1287,0,319,0,"""[]""","""{\""account\"": \""Calderaxyz\"", \""scrape_time\"": \""2025-03-16T22:41:01.747958\""}""",2025-03-15 11:21:54.984685+00
75b47d66-2165-4a44-a95f-dc3bfcd27664,1899775674363367770,d342959c-099a-4804-b4ab-a19b6d25e223,"Because they are programmable, creators fully control their Spaces. They can set pricing, access rules, permissions and much more.

Since Towns launched, over 300k Spaces have been created and nearly 900k Memberships have been issued, bringing in 1,141 ETH in revenue.",2025-03-12 10:53:11+00,https://twitter.com/Calderaxyz/status/1899775674363367770,27,0,2,0,"""[]""","""{\""account\"": \""Calderaxyz\"", \""scrape_time\"": \""2025-03-16T22:41:03.886925\""}""",2025-03-15 18:41:14.679929+00
c441ef91-8bc3-470e-9594-60b2f9d4cfe4,1899511727026500035,e933bbd9-87d6-474a-8989-df2c8232f634,This is the final post.,2025-03-11 17:24:21+00,https://twitter.com/AbstractChain/status/1899511727026500035,57,0,5,0,"""[\""https://pbs.twimg.com/media/GlxroCLWIAAxPY-?format=png&name=small\""]""","""{\""account\"": \""AbstractChain\"", \""scrape_time\"": \""2025-03-16T22:39:10.962360\""}""",2025-03-15 18:39:22.203472+00
a87fc5e6-8eca-406b-bf2b-d7b3e4eb5bfd,1899497729887244782,d342959c-099a-4804-b4ab-a19b6d25e223,"Talking about Ethereum rollup unification at ETH San Francisco

Powered by Caldera ",2025-03-11 16:28:44+00,https://twitter.com/Calderaxyz/status/1899497729887244782,547,0,174,0,"""[\""https://pbs.twimg.com/media/GlxLNLna8AAZfCM?format=jpg&name=small\""]""","""{\""account\"": \""Calderaxyz\"", \""scrape_time\"": \""2025-03-16T22:41:05.178930\""}""",2025-03-15 18:12:23.1175+00
