id,tweet_id,account_id,text,created_at,url,likes,retweets,replies,views,media,metadata,scrape_time
00face1a-35f4-48c3-a34b-00b996a334a6,1900624352569422141,d342959c-099a-4804-b4ab-a19b6d25e223,Join The Metalayer: http://metalayer.caldera.xyz,2025-03-14 19:05:32+00,https://twitter.com/Calderaxyz/status/1900624352569422141,29,0,2,0,"""[\""https://pbs.twimg.com/media/GmBfxs9awAA_1T8?format=png&name=small\""]""","""{\""account\"": \""Calderaxyz\"", \""scrape_time\"": \""2025-03-16T22:40:52.850967\""}""",2025-03-15 12:08:29.607042+00
0557d534-bd4d-4d0d-9877-03be30482753,1899111887293284830,d342959c-099a-4804-b4ab-a19b6d25e223,Go Horizontal,2025-03-10 14:55:32+00,https://twitter.com/Calderaxyz/status/1899111887293284830,738,0,200,0,"""[\""https://pbs.twimg.com/media/GlsAKvqXYAEPpBo?format=jpg&name=small\""]""","""{\""account\"": \""Calderaxyz\"", \""scrape_time\"": \""2025-03-16T22:41:07.197632\""}""",2025-03-15 11:21:56.74964+00
064919c5-f5f8-45c8-9767-a5f6b0394106,1900493317206376838,e933bbd9-87d6-474a-8989-df2c8232f634,"1/ The Ruyui adventure is about to begin, and as promised, there is plenty more than meets the eye... ",2025-03-14 10:24:50+00,https://twitter.com/AbstractChain/status/1900493317206376838,545,0,109,0,"""[]""","""{\""account\"": \""AbstractChain\"", \""scrape_time\"": \""2025-03-15T23:57:50.348930\""}""",2025-03-15 18:39:21.479211+00
0b90d032-098f-44f7-a671-ba626750c1f5,1900156466881061038,4a8d713d-e69a-41fb-8979-5da05eadef84,"How to farm:

For LP staking pools:
1. Deposit to your pool of choice on 
@syncswap

2. Deposit the LP tokens in the Sophon farm for up to 4x SP multipliers

For single-sided staking pools:
1. Simply deposit assets to your pool of choice

(((+)))",2025-03-13 12:06:19+00,https://twitter.com/sophon/status/1900156466881061038,81,0,2,0,"""[\""https://pbs.twimg.com/media/Gl62El7WsAA4wXR?format=jpg&name=small\""]""","""{\""account\"": \""sophon\"", \""scrape_time\"": \""2025-03-16T22:39:44.957231\""}""",2025-03-15 18:39:57.288235+00
0c7cd370-0cc2-40e4-b46f-d766caef37e3,1898994082405355842,d342959c-099a-4804-b4ab-a19b6d25e223,"very important update 
 
|------------------| 
|   NEW                     | 
|   ERA                       | 
|   COMING             | 
|   SOON                  | 
|------------------| 
(\__/) || 
(•ㅅ•) || 
/ 　 づ",2025-03-10 07:07:25+00,https://twitter.com/Calderaxyz/status/1898994082405355842,2033,0,455,0,"""[]""","""{\""account\"": \""Calderaxyz\"", \""scrape_time\"": \""2025-03-16T22:41:08.527376\""}""",2025-03-15 11:21:57.902807+00
0d76e02c-3acd-4e26-86da-98c2d35ec68a,1899158768522309952,e762136e-fdf5-4687-8de7-9999c011f58a,"Blockchain is reshaping industries—from securing medical records to making supply chains more transparent. In AI, it’s unlocking trustless, decentralized systems that put users in control.

What’s the coolest blockchain use case you’ve seen recently?",2025-03-10 18:01:49+00,https://twitter.com/SaharaLabsAI/status/1899158768522309952,601,0,30,0,"""[]""","""{\""account\"": \""SaharaLabsAI\"", \""scrape_time\"": \""2025-03-16T22:38:36.769928\""}""",2025-03-15 18:38:47.926207+00
0fdb19cf-4139-4617-ab56-aec499702d3f,1900728029770641664,e762136e-fdf5-4687-8de7-9999c011f58a,"Season 3 Whitelist Notifications Are Out! 

If you’re on the waitlist, check your email—whitelisted users have just been notified!

 Season 3 kicks off next week
 All emails come from: hello@saharalabs.ai
 The ONLY link to our app: http://app.saharalabs.ai

Stay vigilant &",2025-03-15 01:57:30+00,https://twitter.com/SaharaLabsAI/status/1900728029770641664,1717,0,313,0,"""[\""https://pbs.twimg.com/media/GmC-EZbaIAAgiT7?format=jpg&name=small\""]""","""{\""account\"": \""SaharaLabsAI\"", \""scrape_time\"": \""2025-03-16T22:38:31.119713\""}""",2025-03-15 11:19:40.461211+00
1450dd27-80ed-4312-8631-d3a9b24e72ce,1900538291562148116,2087a28a-6781-44da-afb9-26b1152c6e09,"The Photon Galxe Quest is still live! 

Don’t miss your chance to complete tasks, earn exclusive rewards, and be part of the future with PBTC.

Jump in now 
https://app.galxe.com/quest/Eg5jpuNhHJYpVkgXddSd9D/GCR6Tt1A4J…",2025-03-14 13:23:33+00,https://twitter.com/Photon_Labs/status/1900538291562148116,383,0,28,0,"""[]""","""{\""account\"": \""Photon_Labs\"", \""scrape_time\"": \""2025-03-16T22:40:13.789826\""}""",2025-03-15 11:21:14.212673+00
179fdf5e-541b-4db3-911a-433f6d2de14f,1900354653319270885,e762136e-fdf5-4687-8de7-9999c011f58a,"Season 3 kicks off this week! But first, let’s take a moment to celebrate how far we’ve come—all thanks to our incredible community!

Season 1 Recap
 1.85M+ waitlist signups
 289K+ approved datapoints
 4.47M+ points distributed

Season 2 Recap
 2.24M+ waitlist signups
",2025-03-14 01:13:50+00,https://twitter.com/SaharaLabsAI/status/1900354653319270885,1456,0,206,0,"""[\""https://pbs.twimg.com/media/Gl9nocDXQAAL_6N?format=jpg&name=small\""]""","""{\""account\"": \""SaharaLabsAI\"", \""scrape_time\"": \""2025-03-16T22:38:33.268883\""}""",2025-03-15 12:06:10.867785+00
1aee6e44-dc83-4474-97a0-0135f6447b85,1899775638090998051,d342959c-099a-4804-b4ab-a19b6d25e223,"Chain Spotlight: 
@townsxyz


The Blockchain Messenger",2025-03-12 10:53:02+00,https://twitter.com/Calderaxyz/status/1899775638090998051,734,0,199,0,"""[\""https://pbs.twimg.com/media/Gl1b31XWUAAwgO9?format=jpg&name=small\""]""","""{\""account\"": \""Calderaxyz\"", \""scrape_time\"": \""2025-03-16T22:41:03.158767\""}""",2025-03-15 18:12:22.475827+00
